,a0,a1,a2,a3,a4,a5,a6,a7
-2.0 to -1.9,0.442124373683202,0.9193006870045011,1.7321874677171878,1.2904637822134828,1.0379715123775428,0.6006416575096002,0.18318268650411956,0.0220299149690545
-1.9 to -1.8,0.7758814956787737,0.9870256952504399,1.0413740360881858,0.9078141547773466,1.4544732713530504,1.092179074773319,0.3631095907737459,0.04504883395521279
-1.8 to -1.7,0.7420275312351989,1.1299273756216188,1.1809037935333127,0.7112920582861574,1.1894778929323993,1.0119719161538763,0.37045321372430995,0.049796189001375245
-1.7 to -1.6,0.8161559017126463,1.3436856264420345,1.2230180610859458,0.579943342985265,1.2947122272819782,1.2819632576917765,0.5155306710809967,0.07477603545957454
-1.6 to -1.5,0.36744729024086087,0.7532521495840293,1.314668879585604,0.8048270935415577,1.0088106255222453,0.8955018686284768,0.36655060773386977,0.05572762685081756
-1.5 to -1.4,0.5702108361015443,1.1793584080761736,1.311765025833253,0.369169222821658,0.9856077437600954,1.3006446888603562,0.6362812664147579,0.10874191049641288
-1.4 to -1.3,0.17166304601240095,0.43124506671893076,1.2276194617162455,1.0745081648577417,1.6041210098262746,1.5254107495422808,0.6842992636325085,0.11606768475517835
-1.3 to -1.2,0.157740084285236,0.5245467904326634,1.3347373603395951,0.7294569645342689,0.9271036218901221,1.1072453098886506,0.5979908600950876,0.1170696265860152
-1.2 to -1.1,0.06738845082168006,0.43792868957912073,1.5195725129649187,0.8381464240902256,0.5243215400593286,0.5815527506055927,0.36982490204634916,0.08456215259050628
-1.1 to -1.0,3.6047144569861556,13.818333285328812,17.799204533284712,2.9062773141170957,-9.984560350562658,-6.9832263362939475,-0.8380474397412836,0.30102882390699676
-1.0 to -0.9,-0.15623926724945547,-0.1944388521511498,1.1309464705817507,1.1760403757456745,0.8050166779912908,0.3158795575529941,0.061297364683755684,0.004644076036185934
-0.9 to -0.8,-0.1842635694030624,-0.26465266706801405,1.242065929897964,1.7741574418381543,1.6574496870072493,0.8598170340166397,0.20359989489778324,0.010633269633124935
-0.8 to -0.7,-0.2232631267858336,-0.5000847483954037,0.7137094240677315,1.3320160864961883,1.837412676243971,1.4827415177951815,0.6432791359888279,0.11757134123759791
-0.7 to -0.6,-1.1457836663250442,-7.183038408510412,-18.11140101571805,-24.217423732538325,-15.604719264727128,-7.05813450737058,-6.586565724109054,-3.6257006247244186
-0.6 to -0.5,-0.22609714581959006,-0.5086874018603738,0.7310886103690898,1.3912718317292898,1.708829268959972,0.8886969368703262,-0.0771991037670231,-0.17901549411094164
-0.5 to -0.4,-0.23689577171701082,-0.6143736329942339,0.3254882878129603,0.6648671349963073,1.255481231368683,1.2625148944273845,0.607339519355861,0.09296527184703088
-0.4 to -0.3,-0.2392155577086635,-0.6434456352036145,0.18000913573366376,0.30925176396432774,0.876334734500811,1.2995213414762636,1.0208886486416988,0.33649373342888206
-0.3 to -0.2,-0.23974612552759975,-0.6527315118769954,0.11354602302026917,0.0664609313809194,0.4362819208297734,1.0804619035972007,1.4529988887659537,0.8475258269560797
-0.2 to -0.1,-0.25100180992968435,-1.181201393210781,-10.418471125009656,-115.48010102040382,-753.5801430746506,-2926.938218643346,-6266.022962899506,-5706.081139732312
-0.1 to 0.0,-0.2397854165454332,-0.6539151055645281,0.09864061872910827,-0.036220658378883164,0.03586966814157228,0.3176102731743886,1.2068218169031772,0.943530031391475
0.0 to 0.1,-0.23978541819003932,-0.65391542259801,0.0985859114725467,-0.03745428205301542,-0.006119468806793041,0.09569214807066005,-0.3948138344567809,0.5652684378688676
0.1 to 0.2,-0.23978710900658073,-0.653860210410203,0.09792149636636009,-0.03441018183587277,-0.0008221330222486261,-0.022736302089700237,0.08925453984317089,-0.04267509777425415
0.2 to 0.3,-0.24187681369454542,-0.6133467669706262,-0.20195549164996912,0.9650555728467636,-1.115339869404563,-1.3361413677755052,3.0743023506187614,-0.135423868363275
0.3 to 0.4,-0.23772909988277946,-0.6874272509414859,0.3187683929907386,-0.7595340246098187,1.1142454010785203,-0.24731049916172934,-1.3442677904190252,1.194022676584067
0.4 to 0.5,-0.24504505264764678,-0.5899998885302942,-0.20610311124152725,0.6349219028330323,-0.4696979397987549,-0.7334350896904416,1.5623041763809309,-0.8196417084372623
0.5 to 0.6,-0.24551883463916954,-0.6089667195851189,-0.026478082041083397,0.07866100639547656,0.0805123720245226,-0.1851320593600709,0.05070953433642186,0.03534699451410675
0.6 to 0.7,-0.25090726355875714,-0.5727777909088062,-0.13003033038290895,0.2590311661657337,-0.14086948908518726,-0.024900032716324575,0.032445096516408124,0.0023931933170575916
0.7 to 0.8,-0.23313363738196516,-0.7095847362183025,0.29603117737544865,-0.4217048462538195,0.44333180800766536,-0.2888785527886816,0.10237835974828524,-0.014775275606779081
0.8 to 0.9,-0.338371090583077,0.14063193474172359,-2.5127680441920277,4.462900287264453,-4.300308861532678,2.175181182921768,-0.45360852342021674,-2.468841288536337e-07
0.9 to 1.0,0.003925361770462521,-1.5625300425821878,1.0921084585167458,-0.12553378442285107,0.08349268549060047,-1.1325965047473163,1.1626001919231739,-0.34780577372266996
1.0 to 2.0,-0.23968590753830485,-0.6548085545404276,0.10212380419222823,-0.046058073817145,0.015093084149993137,-0.0034675145186130493,0.0004969647356283338,-3.315600409947071e-05
2.0 to 3.0,0.01806705314819809,-1.3880976879296314,0.992700524182272,-0.6444334333903152,0.25521261928307026,-0.06098077298233734,0.008103259809893034,-0.0004610445626975188
3.0 to 4.0,-0.2924822001991754,-0.5407337647710911,-0.0062796866521180154,0.013387370912478873,-0.005528318778405329,0.0011270206389483266,-0.00011841910874538784,5.1391844207943234e-06
4.0 to 8.0,-0.28923778015707197,-0.5650189584351367,0.025784612111321666,-0.0058552406106846654,0.0008168433173162273,-6.962190080684898e-05,3.3419611541251964e-06,-6.944765986662935e-08
