,a0,a1,a2,a3,a4,a5,a6,a7
-2.0 to -1.9,0.04041728341383899,1.6316709407366614,1.9462512310525477,1.8271372254408413,0.8465034016434977,0.09998014663127405,-0.051542722411020064,-0.012936420897738147
-1.9 to -1.8,0.1799945196960365,0.7569532321593984,0.14953644263288046,1.3274256358114864,1.850125331532906,1.0207071872249938,0.2488039054718398,0.022350321754926412
-1.8 to -1.7,0.022874679933706336,0.5803709908315524,0.1266527288616026,1.6233675812738428,2.4876798538834866,1.5739747549491487,0.463360032866627,0.053329512685563324
-1.7 to -1.6,0.08978125667252061,0.9309786755734154,0.3694555211916119,1.3564880323475323,2.15808875929212,1.510535753125059,0.4970032408737595,0.06414457869007954
-1.6 to -1.5,0.03975084960304236,1.269746358406314,0.8257870625500128,0.7643881589128299,0.8107944729006933,0.6109954867459045,0.2397804245695897,0.0376445029179602
-1.5 to -1.4,0.08015509213080738,1.3837229503339417,1.023417968201682,1.1302579326924949,1.3143725754302844,1.0019563103381437,0.3932850427827627,0.06154235828513899
-1.4 to -1.3,0.04032617816497043,1.1367824691432882,0.4766155376254008,0.7487582113025093,1.5814362210533661,1.5582163562181055,0.6962757081979118,0.11814051615043934
-1.3 to -1.2,-0.04469726446774947,1.1190474640851291,0.7960915754357882,0.9706663662199118,1.251258828811462,1.0750148434257416,0.478379373608519,0.08463281408641611
-1.2 to -1.1,-0.4331792823309684,0.03882220775924819,0.13598588397858974,1.626066157767202,2.068025157559457,1.101905766933815,0.23642684015056847,0.008993971572215877
-1.1 to -1.0,-0.20693937400025003,0.6733800858765047,0.42203557674433995,0.8504681855760315,1.0214652086733458,0.6912596758681931,0.2469440913515478,0.036899734491632905
-1.0 to -0.9,-0.16401485903602417,0.8961494442647433,0.8956889847627754,1.3535066609106077,1.2502940052203873,0.6558135820781902,0.16959653432738317,0.01459714906188457
-0.9 to -0.8,-0.0029217773230101533,1.439331507773415,0.965671579945292,-0.3282343884218979,-0.7450892791477915,0.7341478579168667,1.3704501159550073,0.5114864373107688
-0.8 to -0.7,-0.19176520032809127,0.7292969585133224,0.5661464174966488,1.2774398955998036,1.8826011635971132,1.633477054159456,0.7643213070471648,0.14956560958980056
-0.7 to -0.6,-0.22419973605670357,0.5254188815806977,0.05534176791838432,0.4636358392305582,0.4957138006875891,-0.5516180799253969,-1.1891723600371054,-0.5358705761295244
