,a0,a1,a2,a3,a4,a5,a6,a7
-2.0 to -1.9,0.6926498711336477,1.1639866504536978,1.882569530587219,2.9863397893395836,2.5086092667937043,0.9811166740304139,0.15769231175090515,0.00529508845910367
-1.9 to -1.8,0.4171500306099737,1.0338097671876427,0.8853061205673676,1.0452094090015747,1.4637032040808267,1.0216215572721041,0.3287020258453534,0.04009842248497437
-1.8 to -1.7,0.5280439975272605,1.367910564703021,1.0108437624214959,0.7712763460295021,1.2435265549919634,1.0231298396704853,0.36983395733968544,0.04945770773508694
-1.7 to -1.6,0.4498903187434936,1.258485537384951,0.9033262658471453,0.7790764251199445,1.5160516067829384,1.3500731106033839,0.5187156154217865,0.07349863954895162
-1.6 to -1.5,0.04126033762891521,0.8213905946605791,1.2415157287158005,1.1854936384765085,1.2554548976347255,0.9167780967913917,0.3417429672478645,0.04959250794043771
-1.5 to -1.4,0.22389694439776872,1.2153765769500355,1.2428046509923463,0.706709021450381,1.04691949172911,1.1181521256036848,0.5186275414575727,0.08707287126300489
-1.4 to -1.3,0.1012650187975666,0.9679697344744221,1.0480715702032355,0.7020373633415248,1.3408956370807037,1.5402479133188425,0.7562997263348903,0.13485113994593884
-1.3 to -1.2,-0.3161931895056335,0.2744629209302113,1.3577821436784454,1.6290010016901775,1.1519271706698362,0.5042633428446569,0.12814309726418716,0.01465797640572024
-1.2 to -1.1,-0.34532400658432455,0.20731618804474108,1.3664937963714416,1.7842859199195156,1.3230347914279146,0.5753196549383784,0.13492801964243434,0.012959846764866247
-1.1 to -1.0,-0.40560006198967635,-0.07380351135208771,0.8440252392074511,1.3102954499420825,1.1338175005032682,0.5784219369548577,0.1603538241245584,0.01843218908477239
-1.0 to -0.9,-0.3788867767304287,0.02430788664776653,0.9009050961452435,1.0709535950363478,0.6364421166268425,0.180507545021822,0.016560703644893832,1.6780209418724978e-06
-0.9 to -0.8,0.8458524266943517,4.633737417501959,3.80290590134404,-7.473208819869301,-11.794244511739828,0.029507136035775452,7.428360897620491,3.1944464382057878
-0.8 to -0.7,-0.429840751504164,-0.16708277725844492,0.8109527873585614,1.692948177046664,1.9737760913810052,1.3603028179478387,0.5099900071052875,0.07944851683696733
-0.7 to -0.6,-0.4411864013344517,-0.24175675088016754,0.6298655089124131,1.5292932699737243,2.033242836347033,1.5871476119307162,0.6658415670456379,0.11362935987108859
-0.6 to -0.5,-0.4481597913281461,-0.2973305614005611,0.4532752709365685,1.2435986653288558,1.7701856250141061,1.406858086853088,0.537416912615585,0.058036772936675106
-0.5 to -0.4,-0.4515066460357961,-0.31955634732083243,0.4326015336442767,1.4346411337291287,2.4401072155959387,2.272517164783328,0.960277025957048,0.07630721952330886
-0.4 to -0.3,-0.4568759523721346,-0.38748550418053673,0.0866542989284799,0.5580805897305045,1.4035725165195074,2.1068130172012025,1.723336376059938,0.5875914180316794
-0.3 to -0.2,-0.45759612991619125,-0.3995490255784618,0.005466946396082987,0.2874804736678867,0.987808947551245,2.036147013593761,2.2664288916086024,1.0364645911014234
-0.2 to -0.1,-0.457749456889524,-0.4033171567000611,-0.03220391276544749,0.09468479341982546,0.4780026756059554,1.4610002474366697,2.2353658136272236,1.170648640220418
-0.1 to 0.0,-0.45776149332930294,-0.4038316276810465,-0.04132611726316994,0.009161953732503848,0.04500989251014634,0.5629701276039557,3.6882644575946646,9.643198461538514
