,a0,a1,a2,a3,a4,a5,a6,a7
-2.0 to -1.9,0.4566578945190092,1.0163795182243394,1.2486206111095894,1.4872003628473485,1.238474243750437,0.5978102885438406,0.15069703821099584,0.015419509433626901
-1.9 to -1.8,0.8153085411583447,1.267772561203421,0.6983624404271834,0.9503510754935062,1.403774471203791,0.9636901278905148,0.3040570773354526,0.03652367079802799
-1.8 to -1.7,0.7634512676142255,1.3316475275747555,0.8331611205603228,0.9174646703678847,1.306060799637944,0.9440315466523318,0.31688448260785623,0.04050427963929549
-1.7 to -1.6,0.762093136426516,1.2833469904692798,0.6497391822438987,0.8501850194288697,1.5919575863758704,1.2997255097165563,0.4735814486052356,0.06489839945888345
-1.6 to -1.5,0.38720165131089396,0.9175754303945568,1.074431874618371,1.304989443667742,1.2823394844052287,0.7765702118907444,0.24972156144434346,0.032693243463262224
-1.5 to -1.4,0.7247943690710319,1.4944126151014399,0.8929754881232242,0.536785603912873,1.1283137865069708,1.203977523906468,0.5420264898165221,0.08893273871110424
-1.4 to -1.3,-6.999027440087702,-13.495059626790558,4.491600470174403,26.806178718990246,18.738761568248652,0.0036811002172761303,-4.059386263383228,-1.0785832300086524
-1.3 to -1.2,0.26023586624574374,0.6372071654507014,0.8511430512937741,1.2695550608686401,1.4250713840490936,0.978607223158091,0.36409904989399766,0.056226343519544926
-1.2 to -1.1,0.2228558391059511,0.581118142344519,0.9290333658898303,1.4575121321304698,1.4905454449034297,0.9002197233961966,0.29670391408394636,0.041401090885296636
-1.1 to -1.0,0.20966028761515634,0.48999510565098997,0.6719139700386932,1.0724786101272183,1.161535279467068,0.7419155743275002,0.2582187206309202,0.038051554828259594
-1.0 to -0.9,0.22450750997909272,0.5487773866046132,0.7118700395112603,0.9070730179303039,0.756327254560299,0.3483364771089555,0.07404501847869517,0.0036755279591983723
-0.9 to -0.8,0.7785555471974982,1.3517948787030536,-4.418483776468818,-13.856725122493554,-8.757309904905037,8.982289067622085,13.447120502727522,4.614609611422653
-0.8 to -0.7,0.20148966468726975,0.44391449012684253,0.6152874757429846,1.214478529916404,1.666948355110098,1.3606542498317855,0.6114181430702875,0.11720801670093575
-0.7 to -0.6,0.19972642472628827,0.43098100798965144,0.5790312944153568,1.169086762769118,1.6504287916383757,1.3763104120863685,0.6261563578713413,0.1200044967043718
-0.6 to -0.5,0.19790509597313202,0.42046178868199285,0.5571708593364665,1.127664786719212,1.4982831644343222,1.0194829036063104,0.2425104323684805,-0.03370770298872168
-0.5 to -0.4,0.9179565186503595,5.946000456281774,0.2182267234777233,-134.95280981763884,-593.2909553590837,-1171.203777125764,-1140.3205015791825,-445.6071197073604
-0.4 to -0.3,0.18855509112119787,0.3240277686985438,0.16514726828127121,0.39379216594213357,1.1184591777233457,1.8536768342025072,1.6895663331640112,0.6568996964285232
-0.3 to -0.2,0.18816902825940773,0.3173179461430358,0.11777426420895414,0.22214158517153934,0.7889845689718539,1.5453341201963084,1.5687968527394618,0.6128477896744797
-0.2 to -0.1,0.18802634710713967,0.3137822218867344,0.08172685685275909,0.03137339530885559,0.25835123630895346,0.928844646876656,1.775135363561922,1.4083519818928762
-0.1 to 0.0,0.18802136956159765,0.31355983361590584,0.07756440272745445,-0.010368225397054889,0.023081383970613843,0.22071766989315528,0.7164226081330809,0.15464609990064013
0.0 to 0.1,0.1880212310459454,0.313670302361428,0.06078848127427181,0.9107635975923167,-23.12987411751881,294.0868139888748,-1858.2962864597202,4644.506020660589
0.1 to 0.2,0.18802010824593804,0.3136496469484684,0.0759351874265572,0.0018166685571491044,-0.06471473989723349,0.12068500742708725,0.02679127006009041,-0.3024003389555321
0.2 to 0.3,0.18816550227166268,0.31006926063086343,0.11267949276694532,-0.19941335310345465,0.5525052234514481,-0.8530609448611086,0.4920030623842978,0.09020699131354586
0.3 to 0.4,0.18999577962113534,0.28079695176497016,0.29906325437019854,-0.7779509420670757,1.3455738047498502,-0.8531867699080745,-0.5822096266097259,0.8078259320603038
0.4 to 0.5,0.18766106202156946,0.3185430536969375,0.04837534050558617,0.0813869728748672,-0.1789812733989389,0.19594944829207708,-0.1154168827390978,0.027910410890789848
0.5 to 0.6,0.05545644161171367,1.469958969311279,-3.829156534938795,6.089162788716889,-3.5137493452226884,-1.298047449430063,1.9864986821519117,-0.33361588551817944
0.6 to 0.7,0.17076755173311955,0.462578631408813,-0.4383197391440846,0.8653092693696629,-0.6614567682871676,-0.033024238147118766,0.3489633098948316,-0.14987098551882166
